# Description: This file contains daily global mean near-surface (2m) air temperature
#  data from ERA5 from 1940 to 2026 as well as daily temperature anomalies relative to
#  the 1991-2020 reference period.
# Data source: The original ERA5 gridded hourly data used to generate the time series can be
#  downloaded from the C3S Climate Data Store (CDS) at the following link:
#  https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
# Data availability: The ERA5 data available in the CDS are updated with a 5-day delay (120 hours)
#  behind real-time. Note that the time series below includes values based on ERA5 data not yet
#  available in the CDS (for days 2 to 5 behind real-time).
# Status: Can be preliminary or final. If preliminary, the values will likely change (slightly)
#  once the final ERA5 data for the day are available (typically 3 days behind real-time).
# Columns:
#  2t: Daily mean absolute temperature based on hourly values from 00 to 23 UTC
#  clim_91-20: Daily climatology for 1991-2020
#  ano_91-20: Daily anomaly relative to the 1991-2020 daily climatology
#  status: Preliminary or final
# Units: deg. C
# Last updated: 27 Jul 2026
date,2t,clim_91-20,ano_91-20,status
1940-01-01,11.718,12.480,-0.762,FINAL
1940-01-02,11.662,12.472,-0.810,FINAL
1940-01-03,11.664,12.465,-0.801,FINAL
1940-01-04,11.676,12.458,-0.782,FINAL
1940-01-05,11.600,12.452,-0.852,FINAL
1940-01-06,11.518,12.446,-0.928,FINAL
1940-01-07,11.496,12.440,-0.945,FINAL
1940-01-08,11.455,12.435,-0.980,FINAL
1940-01-09,11.349,12.431,-1.081,FINAL
1940-01-10,11.354,12.427,-1.073,FINAL
1940-01-11,11.409,12.423,-1.015,FINAL
1940-01-12,11.457,12.421,-0.964,FINAL
1940-01-13,11.574,12.418,-0.845,FINAL
1940-01-14,11.592,12.417,-0.825,FINAL
1940-01-15,11.517,12.416,-0.899,FINAL
1940-01-16,11.472,12.416,-0.944,FINAL
1940-01-17,11.481,12.417,-0.936,FINAL
1940-01-18,11.527,12.418,-0.891,FINAL
1940-01-19,11.518,12.420,-0.902,FINAL
1940-01-20,11.518,12.423,-0.905,FINAL
1940-01-21,11.488,12.426,-0.938,FINAL
1940-01-22,11.477,12.431,-0.954,FINAL
1940-01-23,11.459,12.436,-0.977,FINAL
1940-01-24,11.389,12.442,-1.053,FINAL
1940-01-25,11.345,12.448,-1.103,FINAL
1940-01-26,11.375,12.455,-1.080,FINAL
1940-01-27,11.423,12.463,-1.040,FINAL
1940-01-28,11.451,12.472,-1.021,FINAL
1940-01-29,11.439,12.482,-1.042,FINAL
1940-01-30,11.497,12.492,-0.994,FINAL
1940-01-31,11.497,12.502,-1.005,FINAL
1940-02-01,11.502,12.513,-1.011,FINAL
1940-02-02,11.501,12.525,-1.024,FINAL
1940-02-03,11.449,12.538,-1.089,FINAL
1940-02-04,11.512,12.551,-1.039,FINAL
1940-02-05,11.581,12.564,-0.983,FINAL
1940-02-06,11.612,12.578,-0.966,FINAL
1940-02-07,11.630,12.592,-0.962,FINAL
1940-02-08,11.665,12.607,-0.942,FINAL
1940-02-09,11.622,12.622,-1.001,FINAL
1940-02-10,11.645,12.638,-0.993,FINAL
1940-02-11,11.701,12.654,-0.953,FINAL
1940-02-12,11.713,12.671,-0.957,FINAL
1940-02-13,11.705,12.687,-0.982,FINAL
1940-02-14,11.761,12.705,-0.943,FINAL
1940-02-15,11.794,12.722,-0.928,FINAL
1940-02-16,11.864,12.740,-0.876,FINAL
1940-02-17,11.977,12.758,-0.781,FINAL
1940-02-18,12.088,12.776,-0.688,FINAL
1940-02-19,12.114,12.795,-0.682,FINAL
